rank,customer_id,segment,p_churn,estimated_clv,value_at_risk,breakeven_save_rate,expected_gain
1,CUST_002669,pricing/neutral,1.0,1661.22,1661.22,0.012039344578081168,478.366
2,CUST_003216,pricing/neutral,1.0,1570.86,1570.86,0.012731879352711254,451.2579999999999
3,CUST_003109,pricing/neutral,1.0,1528.56,1528.56,0.013084209975401686,438.568
4,CUST_002994,pricing/neutral,1.0,1524.06,1524.06,0.01312284293269294,437.21799999999996
5,CUST_002870,pricing/neutral,1.0,1522.08,1522.08,0.013139913802165459,436.62399999999997
6,CUST_003228,pricing/neutral,1.0,1511.82,1511.82,0.013229088118955961,433.546
7,CUST_003240,pricing/neutral,1.0,1500.3,1500.3,0.013330667199893355,430.09
8,CUST_002842,pricing/neutral,1.0,1496.52,1496.52,0.013364338598882742,428.95599999999996
9,CUST_003320,pricing/neutral,1.0,1493.28,1493.28,0.01339333547626701,427.984
10,CUST_002801,pricing/neutral,1.0,1482.84,1482.84,0.013487631841601252,424.852
11,CUST_003097,pricing/neutral,1.0,1447.02,1447.02,0.013821509032356153,414.106
12,CUST_003029,pricing/neutral,1.0,1446.48,1446.48,0.013826668878933687,413.944
13,CUST_002943,pricing/neutral,1.0,1419.84,1419.84,0.014086094207798062,405.95199999999994
14,CUST_002727,pricing/neutral,1.0,1417.32,1417.32,0.01411113933338978,405.19599999999997
15,CUST_002776,pricing/neutral,1.0,1416.06,1416.06,0.01412369532364448,404.818
16,CUST_003052,pricing/neutral,1.0,1383.12,1383.12,0.014460061310659958,394.936
17,CUST_003128,pricing/neutral,1.0,1368.54,1368.54,0.014614114311602146,390.56199999999995
18,CUST_003104,pricing/neutral,1.0,1364.22,1364.22,0.014660392018882584,389.266
19,CUST_003016,pricing/neutral,1.0,1361.34,1361.34,0.014691406996048012,388.402
20,CUST_003172,pricing/neutral,1.0,1354.5,1354.5,0.014765596160944998,386.34999999999997
21,CUST_003167,pricing/neutral,1.0,1351.44,1351.44,0.01479902918368555,385.432
22,CUST_003191,pricing/neutral,1.0,1349.46,1349.46,0.014820743112059638,384.838
23,CUST_002954,pricing/neutral,1.0,1348.2,1348.2,0.01483459427384661,384.46
24,CUST_003209,pricing/neutral,1.0,1344.24,1344.24,0.014878295542462656,383.272
25,CUST_003260,pricing/neutral,1.0,1342.26,1342.26,0.014900242873958846,382.678
26,CUST_002821,pricing/negative,1.0,1332.9,1332.9,0.015004876584890088,379.87
27,CUST_002732,pricing/negative,1.0,1278.36,1278.36,0.01564504521418067,363.508
28,CUST_003213,pricing/neutral,0.95,1339.38,1272.411,0.015718191684919416,361.7233
29,CUST_003162,pricing/neutral,0.9444398375094437,1320.48,1247.1139166344703,0.016037027358313097,354.1341749903411
30,CUST_003122,pricing/negative,1.0,727.92,727.92,0.02747554676338059,198.37599999999998
31,CUST_002731,pricing/neutral,0.5459827774268755,1332.36,727.4456133324718,0.02749346429952173,198.23368399974154
32,CUST_002729,customer_support/negative,0.8259370883587984,1399.68,1156.047623834043,0.034600650678507185,153.40714357510643
33,CUST_003144,pricing/neutral,0.7889959849743764,720.12,568.1717886997479,0.03520062135744135,150.45153660992437
34,CUST_002880,pricing/neutral,0.26367730364793296,1481.58,390.6590195387045,0.051195541379324284,97.19770586161135
35,CUST_003150,customer_support/negative,1.0,674.64,674.64,0.05929088106249259,81.196
36,CUST_003076,customer_support/negative,1.0,661.56,661.56,0.060463147711469864,79.234
37,CUST_003123,pricing/neutral,0.2380729221763814,1362.42,324.3553106315456,0.06166077552748685,77.30659318946367
38,CUST_002765,customer_support/negative,0.9749807212655336,665.28,648.6351742435342,0.06166794769748603,77.29527613653012
39,CUST_003009,pricing/negative,1.0,306.12,306.12,0.06533385600418136,71.836
40,CUST_002714,pricing/negative,1.0,232.68,232.68,0.08595495960116899,49.804
41,CUST_002905,customer_support/negative,1.0,327.12,327.12,0.12227928588897041,29.067999999999998
42,CUST_003249,customer_support/negative,1.0,320.58,320.58,0.12477384740158463,28.086999999999996
43,CUST_003106,customer_support/negative,0.2380729221763814,1333.44,317.455957346874,0.12600173055279373,27.618393602031098
44,CUST_002708,customer_support/negative,1.0,313.62,313.62,0.12754288629551686,27.043
45,CUST_002892,customer_support/negative,1.0,306.06,306.06,0.13069332810560022,25.909
46,CUST_003022,customer_support/negative,1.0,296.82,296.82,0.1347618085034701,24.522999999999996
47,CUST_002966,customer_support/negative,1.0,295.68,295.68,0.13528138528138528,24.351999999999997
48,CUST_002965,customer_support/negative,1.0,268.2,268.2,0.14914243102162567,20.229999999999997
49,CUST_003065,customer_support/negative,1.0,259.98,259.98,0.15385798907608275,18.997
50,CUST_003268,pricing/negative,0.23779571287336498,310.02,73.72142690500061,0.2712915476496749,2.1164280715001844
