rank,customer_id,segment,p_churn,estimated_clv,arm
1,CUST_002669,pricing/neutral,1.0,1661.22,control
2,CUST_003216,pricing/neutral,1.0,1570.86,control
3,CUST_003109,pricing/neutral,1.0,1528.56,offer
4,CUST_002994,pricing/neutral,1.0,1524.06,control
5,CUST_002870,pricing/neutral,1.0,1522.08,offer
6,CUST_003228,pricing/neutral,1.0,1511.82,offer
7,CUST_003240,pricing/neutral,1.0,1500.3,offer
8,CUST_002842,pricing/neutral,1.0,1496.52,offer
9,CUST_003320,pricing/neutral,1.0,1493.28,control
10,CUST_002801,pricing/neutral,1.0,1482.84,offer
11,CUST_003097,pricing/neutral,1.0,1447.02,offer
12,CUST_003029,pricing/neutral,1.0,1446.48,control
13,CUST_002943,pricing/neutral,1.0,1419.84,offer
14,CUST_002727,pricing/neutral,1.0,1417.32,control
15,CUST_002776,pricing/neutral,1.0,1416.06,offer
16,CUST_003052,pricing/neutral,1.0,1383.12,offer
17,CUST_003128,pricing/neutral,1.0,1368.54,offer
18,CUST_003104,pricing/neutral,1.0,1364.22,offer
19,CUST_003016,pricing/neutral,1.0,1361.34,offer
20,CUST_003172,pricing/neutral,1.0,1354.5,offer
21,CUST_003167,pricing/neutral,1.0,1351.44,offer
22,CUST_003191,pricing/neutral,1.0,1349.46,control
23,CUST_002954,pricing/neutral,1.0,1348.2,offer
24,CUST_003209,pricing/neutral,1.0,1344.24,offer
25,CUST_003260,pricing/neutral,1.0,1342.26,offer
26,CUST_002821,pricing/negative,1.0,1332.9,offer
27,CUST_002732,pricing/negative,1.0,1278.36,control
28,CUST_003213,pricing/neutral,0.95,1339.38,offer
29,CUST_003162,pricing/neutral,0.9444398375094437,1320.48,offer
30,CUST_003122,pricing/negative,1.0,727.92,offer
31,CUST_002731,pricing/neutral,0.5459827774268755,1332.36,offer
32,CUST_002729,customer_support/negative,0.8259370883587984,1399.68,offer
33,CUST_003144,pricing/neutral,0.7889959849743764,720.12,offer
34,CUST_002880,pricing/neutral,0.26367730364793296,1481.58,offer
35,CUST_003150,customer_support/negative,1.0,674.64,control
36,CUST_003076,customer_support/negative,1.0,661.56,offer
37,CUST_003123,pricing/neutral,0.2380729221763814,1362.42,offer
38,CUST_002765,customer_support/negative,0.9749807212655336,665.28,offer
39,CUST_003009,pricing/negative,1.0,306.12,offer
40,CUST_002714,pricing/negative,1.0,232.68,offer
41,CUST_002905,customer_support/negative,1.0,327.12,control
42,CUST_003249,customer_support/negative,1.0,320.58,offer
43,CUST_003106,customer_support/negative,0.2380729221763814,1333.44,offer
44,CUST_002708,customer_support/negative,1.0,313.62,offer
45,CUST_002892,customer_support/negative,1.0,306.06,offer
46,CUST_003022,customer_support/negative,1.0,296.82,offer
47,CUST_002966,customer_support/negative,1.0,295.68,offer
48,CUST_002965,customer_support/negative,1.0,268.2,offer
49,CUST_003065,customer_support/negative,1.0,259.98,offer
50,CUST_003268,pricing/negative,0.23779571287336498,310.02,offer
